"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test1","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test1"
"","607","checkSuccessLogin","Surefire suite","2026-09-03","passed","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","0","test3","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test3"
"проверка товара","1370","test","Surefire suite","2026-09-03","passed","2026-09-03","tests.CartTest","Surefire test","tests.CartTest","test"
"","1","test5","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test5"
"","531","login","Surefire suite","2026-09-03","passed","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","684","test","Surefire suite","2026-09-03","passed","2026-09-03","tests.LocatorTest","Surefire test","tests.LocatorTest","test"
"","477","checkLoginWithWrongPassword","Surefire suite","2026-09-03","passed","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","565","login","Surefire suite","2026-09-03","passed","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1126","test","Surefire suite","2026-09-03","passed","2026-09-03","tests.CheckOutTest","Surefire test","tests.CheckOutTest","test"
"","0","test4","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test4"
"","460","checkLoginWithEmptyPassword","Surefire suite","2026-09-03","passed","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","0","test","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test"
"","696","test","Surefire suite","2026-09-03","passed","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","test"
"","0","test2","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test2"
