"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LocatorTest","Surefire test","tests.LocatorTest","test"
"","0","test2","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test2"
"","0","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.CheckOutTest","Surefire test","tests.CheckOutTest","setup"
"","0","test1","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test1"
"","2","checkLoginWithWrongPassword","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","0","test4","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test4"
"","8","test","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test"
"","1","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","test"
"","1","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"","0","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.LocatorTest","Surefire test","tests.LocatorTest","setup"
"","0","test5","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test5"
"","1","checkLoginWithEmptyPassword","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","2","Открытие браузера","Surefire suite","2026-09-03","broken","2026-09-03","tests.CartTest","Surefire test","tests.CartTest","setup"
"","1","login","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1","login","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","0","test3","Surefire suite","2026-09-03","passed","2026-09-03","NumberTest","Surefire test","NumberTest","test3"
"","0","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.CheckOutTest","Surefire test","tests.CheckOutTest","test"
"проверка товара","1","test","Surefire suite","2026-09-03","skipped","2026-09-03","tests.CartTest","Surefire test","tests.CartTest","test"
"","1","checkSuccessLogin","Surefire suite","2026-09-03","skipped","2026-09-03","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
