"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","test","Surefire suite","2026-09-01","passed","2026-09-01","tests.LocatorTest","Surefire test","tests.LocatorTest","test"
"","487","login","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","2047","checkLoginWithEmptyPassword","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","659","login","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","0","test2","Surefire suite","2026-09-01","passed","2026-09-01","NumberTest","Surefire test","NumberTest","test2"
"","0","test1","Surefire suite","2026-09-01","passed","2026-09-01","NumberTest","Surefire test","NumberTest","test1"
"проверка товара","558","test","Surefire suite","2026-09-01","passed","2026-09-01","tests.CartTest","Surefire test","tests.CartTest","test"
"","715","test","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","test"
"","871","test","Surefire suite","2026-09-01","passed","2026-09-01","tests.CheckOutTest","Surefire test","tests.CheckOutTest","test"
"","487","checkLoginWithWrongPassword","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","0","test4","Surefire suite","2026-09-01","passed","2026-09-01","NumberTest","Surefire test","NumberTest","test4"
"","0","test","Surefire suite","2026-09-01","passed","2026-09-01","NumberTest","Surefire test","NumberTest","test"
"","617","checkSuccessLogin","Surefire suite","2026-09-01","passed","2026-09-01","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","1","test3","Surefire suite","2026-09-01","passed","2026-09-01","NumberTest","Surefire test","NumberTest","test3"
"","1","test5","Surefire suite","2026-09-01","passed","2026-09-01","NumberTest","Surefire test","NumberTest","test5"
